TRC 2024-07-10 03:36:23.939+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:823
WRN 2024-07-10 03:36:23.939+00:00 Starting gossipsub twice                   topics="libp2p gossipsub" tid=1 file=gossipsub.nim:826
DBG 2024-07-10 03:36:23.939+00:00 Started libp2p node                        topics="libp2p switch" tid=1 file=switch.nim:341 peer="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/41122\", \"/ip4/0.0.0.0/tcp/41123/ws\"], addrs: @[\"/ip4/172.18.73.49/tcp/41122\", \"/ip4/172.18.73.49/tcp/41123/ws\"], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/lightpush/2.0.0-beta1\", \"/vac/waku/filter-subscribe/2.0.0-beta1\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
INF 2024-07-10 03:36:23.940+00:00 PeerInfo                                   topics="waku node" tid=1 file=waku_node.nim:1215 peerId=16U*oFR2ip addrs="@[/ip4/172.18.73.49/tcp/41122, /ip4/172.18.73.49/tcp/41123/ws]"
INF 2024-07-10 03:36:23.940+00:00 Listening on                               topics="waku node" tid=1 file=waku_node.nim:1227 full=[/ip4/0.0.0.0/tcp/41122/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/0.0.0.0/tcp/41123/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip] localIp=172.17.0.4
INF 2024-07-10 03:36:23.940+00:00 Announcing addresses                       topics="waku node" tid=1 file=waku_node.nim:1228 full=[/ip4/172.18.73.49/tcp/41122/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip][/ip4/172.18.73.49/tcp/41123/ws/p2p/16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip]
INF 2024-07-10 03:36:23.940+00:00 DNS: discoverable ENR                      topics="waku node" tid=1 file=waku_node.nim:1229 enr=enr:-LO4QMR1fmTMAda8GzSAtscazsv8Ssa9YQIY3mE8aGfiCqacbRw0pRDDylR2TLhqQfmMlCnhdzbaTRriCGOHM0XcqfABgmlkgnY0gmlwhKwSSTGKbXVsdGlhZGRyc4wACgSsEkkxBqCj3QOCcnOFAAABAACJc2VjcDI1NmsxoQM3Tqpf5eFn4Jztm4gB0Y0JVSJyxyZsW8QR-QU5DZb-PYN0Y3CCoKKDdWRwgqCkhXdha3UyDQ
INF 2024-07-10 03:36:23.940+00:00 Node started successfully                  topics="waku node" tid=1 file=waku_node.nim:1268
TRC 2024-07-10 03:36:23.940+00:00 Starting relay connectivity loop           topics="waku node peer_manager" tid=1 file=peer_manager.nim:957
TRC 2024-07-10 03:36:23.940+00:00 Starting prune peerstore loop              topics="waku node peer_manager" tid=1 file=peer_manager.nim:950
INF 2024-07-10 03:36:23.940+00:00 Relay peer connections                     topics="waku node peer_manager" tid=1 file=peer_manager.nim:976 inRelayConns=0/27 outRelayConns=0/13 totalConnections=0/50 notConnectedPeers=0 outsideBackoffPeers=0
DBG 2024-07-10 03:36:23.940+00:00 peer filtering updated                     topics="waku discv5" tid=1 file=waku_discv5.nim:62
INF 2024-07-10 03:36:23.940+00:00 Starting discovery v5 service              topics="waku discv5" tid=1 file=waku_discv5.nim:297
DBG 2024-07-10 03:36:23.940+00:00 start listening on udp port                topics="waku discv5" tid=1 file=waku_discv5.nim:299 address=0.0.0.0 port=41124
TRC 2024-07-10 03:36:23.940+00:00 start discv5 service                       topics="waku discv5" tid=1 file=waku_discv5.nim:307
INF 2024-07-10 03:36:23.940+00:00 Starting discovery v5 search               topics="waku discv5" tid=1 file=waku_discv5.nim:222
TRC 2024-07-10 03:36:23.940+00:00 running discv5 discovery loop              topics="waku discv5" tid=1 file=waku_discv5.nim:225
TRC 2024-07-10 03:36:23.940+00:00 discv5 discovered peers                    topics="waku discv5" tid=1 file=waku_discv5.nim:240 num_discovered_peers=0 peers=@[]
TRC 2024-07-10 03:36:23.940+00:00 discv5 discarded wrong records             topics="waku discv5" tid=1 file=waku_discv5.nim:244 wrong_records=@[]
DBG 2024-07-10 03:36:23.940+00:00 Successfully started discovery v5 service  topics="waku discv5" tid=1 file=waku_discv5.nim:313
INF 2024-07-10 03:36:23.940+00:00 Discv5: discoverable ENR                   topics="waku discv5" tid=1 file=waku_discv5.nim:314 enr=enr:-LO4QMR1fmTMAda8GzSAtscazsv8Ssa9YQIY3mE8aGfiCqacbRw0pRDDylR2TLhqQfmMlCnhdzbaTRriCGOHM0XcqfABgmlkgnY0gmlwhKwSSTGKbXVsdGlhZGRyc4wACgSsEkkxBqCj3QOCcnOFAAABAACJc2VjcDI1NmsxoQM3Tqpf5eFn4Jztm4gB0Y0JVSJyxyZsW8QR-QU5DZb-PYN0Y3CCoKKDdWRwgqCkhXdha3UyDQ
INF 2024-07-10 03:36:23.940+00:00 REST services are installed                tid=1 file=builder.nim:191
INF 2024-07-10 03:36:23.940+00:00 Starting metrics HTTP server               topics="waku node metrics" tid=1 file=waku_metrics.nim:59 serverIp=0.0.0.0 serverPort=41125
INF 2024-07-10 03:36:23.941+00:00 Metrics HTTP server started                topics="waku node metrics" tid=1 file=waku_metrics.nim:69 serverIp=0.0.0.0 serverPort=41125
DBG 2024-07-10 03:36:23.941+00:00 Setting up shutdown hooks                  topics="wakunode main" tid=1 file=wakunode2.nim:91
INF 2024-07-10 03:36:23.941+00:00 Node setup complete                        topics="wakunode main" tid=1 file=wakunode2.nim:132
TRC 2024-07-10 03:36:24.940+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:775 instance=139822171091024
TRC 2024-07-10 03:36:24.940+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:647 ntopics=0
DBG 2024-07-10 03:36:25.087+00:00 Received request                           tid=1 file=serverprivate.nim:141 peer=172.17.0.1:52690 meth=GET uri=/health
DBG 2024-07-10 03:36:25.087+00:00 Serving API request                        tid=1 file=serverprivate.nim:202 peer=172.17.0.1:52690 meth=GET uri=/health path_params=[] query_params=[] content_body=(None)
DBG 2024-07-10 03:36:25.087+00:00 Received response from handler             tid=1 file=serverprivate.nim:297 status=200 meth=GET peer=172.17.0.1:52690 uri=/health content_type=application/json content_size=43
DBG 2024-07-10 03:36:25.090+00:00 Received request                           tid=1 file=serverprivate.nim:141 peer=172.17.0.1:52696 meth=GET uri=/debug/v1/info
DBG 2024-07-10 03:36:25.090+00:00 Serving API request                        tid=1 file=serverprivate.nim:202 peer=172.17.0.1:52696 meth=GET uri=/debug/v1/info path_params=[] query_params=[] content_body=(None)
DBG 2024-07-10 03:36:25.090+00:00 Received response from handler             tid=1 file=serverprivate.nim:297 status=200 meth=GET peer=172.17.0.1:52696 uri=/debug/v1/info content_type=application/json content_size=458
TRC 2024-07-10 03:36:25.714+00:00 Got new request                            topics="websock http-server" tid=1 file=server.nim:213 isTls=false
TRC 2024-07-10 03:36:25.714+00:00 Received connection                        topics="websock http-server" tid=1 file=server.nim:77 address=172.18.181.214:40278
TRC 2024-07-10 03:36:25.714+00:00 Received valid HTTP request                topics="websock http-server" tid=1 file=server.nim:109 address=172.18.181.214:40278
TRC 2024-07-10 03:36:25.714+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:193
TRC 2024-07-10 03:36:25.714+00:00 Didn't match any protocol                  topics="websock ws-server" tid=1 file=websock.nim:310 supported="@[\"\"]" requested="@[\"\"]"
TRC 2024-07-10 03:36:25.714+00:00 Stream created                             topics="libp2p lpstream" tid=1 file=lpstream.nim:113 s=668e01b907b4544ed6c05b36 objName=WsStream dir=In
TRC 2024-07-10 03:36:25.714+00:00 Monitoring for timeout                     topics="libp2p connection" tid=1 file=connection.nim:64 s=:668e01b907b4544ed6c05b36 timeout=10m
DBG 2024-07-10 03:36:25.714+00:00 Accepted an incoming connection            topics="libp2p switch" tid=1 file=switch.nim:260 conn=:668e01b907b4544ed6c05b36
TRC 2024-07-10 03:36:25.714+00:00 Upgrading connection                       topics="libp2p muxedupgrade" tid=1 file=muxedupgrade.nim:69 conn=:668e01b907b4544ed6c05b36 direction=In
TRC 2024-07-10 03:36:25.714+00:00 Starting multistream negotiation           topics="libp2p multistream" tid=1 file=multistream.nim:138 conn=:668e01b907b4544ed6c05b36 handshaked=false
TRC 2024-07-10 03:36:25.714+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
DBG 2024-07-10 03:36:25.714+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-07-10 03:36:25.714+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=2 queue=0
TRC 2024-07-10 03:36:25.714+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=47 queue=0
TRC 2024-07-10 03:36:25.714+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:345 len=32 fin=true mask=true opcode=Binary
TRC 2024-07-10 03:36:25.714+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=0 len=32 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=0 first=true remainder=32 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=1 consumed=1 len=32 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=1 len=32 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=1 first=true remainder=31 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=19 consumed=20 len=32 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.714+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:150 conn=:668e01b907b4544ed6c05b36 ms=/multistream/1.0.0
TRC 2024-07-10 03:36:25.714+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:119 opcode=Binary masked=false dataSize=20
TRC 2024-07-10 03:36:25.715+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=20 len=32 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=20 first=true remainder=12 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=1 consumed=21 len=32 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Setting binary flag                        topics="libp2p wstransport" tid=1 file=session.nim:414 consumed=21 len=32 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Reading bytes from frame stream            topics="libp2p wstransport" tid=1 file=session.nim:418 len=32 consumed=21 first=true remainder=11 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Read data from frame                       topics="libp2p wstransport" tid=1 file=session.nim:428 read=11 consumed=32 len=32 first=true remainder=0 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 Read all frames, breaking                  topics="libp2p wstransport" tid=1 file=session.nim:437 consumed=32 len=32 first=false remainder=0 fin=true opcode=Binary masked=true
TRC 2024-07-10 03:36:25.715+00:00 handle: got request                        topics="libp2p multistream" tid=1 file=multistream.nim:150 conn=:668e01b907b4544ed6c05b36 ms=/tls/1.0.0
TRC 2024-07-10 03:36:25.715+00:00 no handlers                                topics="libp2p multistream" tid=1 file=multistream.nim:175 conn=:668e01b907b4544ed6c05b36 protocol=/tls/1.0.0
TRC 2024-07-10 03:36:25.715+00:00 Sending data to remote                     topics="websock ws-session" tid=1 file=session.nim:119 opcode=Binary masked=false dataSize=4
TRC 2024-07-10 03:36:25.715+00:00 Reading new frame                          topics="websock ws-session" tid=1 file=frame.nim:163
TRC 2024-07-10 03:36:25.758+00:00 Decoded new frame                          topics="websock ws-session" tid=1 file=session.nim:345 len=8 fin=true mask=true opcode=Binary
